Locus	CUI
b3309	0.0232
b3310	0.0217
b3311	0.0232
b3312	0.0256
b3313	0.0242
b3314	0.0239
b3315	0.0232
b3316	0.0208
b3317	0.0230
b3318	0.0255
b3319	0.0240
b3320	0.0230
b3321	0.0244
b3322	0.0204
b3323	0.0197
b3324	0.0178
b3325	0.0218
b3326	0.0217
b3327	0.0217
b3328	0.0222
b3329	0.0211
b3330	0.0204
b3331	0.0214
b3332	0.0211
b3333	0.0198
b3334	0.0200
b3335	0.0205
b3336	0.0246
b3337	0.0216
b3338	0.0216
b3339	0.0247
b3340	0.0242
b3341	0.0226
b3342	0.0215
b3343	0.0215
b3344	0.0220
b3345	0.0211
b3346	0.0223
b3347	0.0243
b3348	0.0256
b3349	0.0244
b4551	0.0227
b3350	0.0235
b3351	0.0217
b3352	0.0247
b3353	0.0229
b3354	0.0231
b3355	0.0221
b3356	0.0235
b3357	0.0242
b3358	0.0224
b3359	0.0238
b3360	0.0218
b3361	0.0241
b3362	0.0184
b3363	0.0225
b3364	0.0227
b3365	0.0246
b3366	0.0245
b3367	0.0227
b3368	0.0239
b3369	0.0218
b3370	0.0225
b3371	0.0243
b4474	0.0241
b3374	0.0229
b3375	0.0221
b3376	0.0227
b3377	0.0238
b3378	0.0240
b3379	0.0224
b3380	0.0226
b3381	0.0226
b3382	0.0229
b3383	0.0227
b3384	0.0245
b3385	0.0235
b3386	0.0242
b3387	0.0213
b3388	0.0223
b3389	0.0222
b3390	0.0236
b3391	0.0224
b3392	0.0200
b3393	0.0206
b3394	0.0211
b3395	0.0220
b3396	0.0231
b3397	0.0226
b3398	0.0227
b3399	0.0223
b3400	0.0232
b3401	0.0258
b3402	0.0217
b3403	0.0239
b3404	0.0231
b3405	0.0243
b3406	0.0236
b3407	0.0250
b3408	0.0217
b3409	0.0242
b3410	0.0232
b3411	0.0218
b3412	0.0230
b3413	0.0189
b3414	0.0245
b3415	0.0250
b3416	0.0229
b3417	0.0248
b3418	0.0242
b4475	0.0235
b3421	0.0237
b3422	0.0231
b3424	0.0226
b3425	0.0237
b3426	0.0240
b3428	0.0233
b3429	0.0220
b3430	0.0228
b3431	0.0213
b3432	0.0225
b3433	0.0225
b3434	0.0232
b4476	0.0246
b3437	0.0240
b3438	0.0229
b3439	0.0239
b3440	0.0229
b3441	0.0198
b3442	0.0180
b3444	0.0183
b3445	0.0209
b3446	0.0214
b3447	0.0234
b3448	0.0212
b3449	0.0236
b3450	0.0247
b3451	0.0234
b3452	0.0223
b3453	0.0232
b3454	0.0243
b3455	0.0241
b3456	0.0244
b3457	0.0250
b3458	0.0238
b3459	0.0224
b3460	0.0250
b3461	0.0249
b3462	0.0234
b3463	0.0238
b3464	0.0255
b3465	0.0230
b3466	0.0244
b3467	0.0217
b3468	0.0234
b3469	0.0246
b3470	0.0231
b3471	0.0220
b3472	0.0249
b3473	0.0222
b3474	0.0226
b3475	0.0212
b3476	0.0238
b3477	0.0248
b3478	0.0249
b3479	0.0244
b3480	0.0235
b3481	0.0226
b3482	0.0218
b3483	0.0195
b3484	0.0200
b3485	0.0238
b3486	0.0231
b3487	0.0242
b3488	0.0185
b3491	0.0198
b3492	0.0225
b3493	0.0230
b3494	0.0202
b3495	0.0232
b3496	0.0226
b3497	0.0236
b3498	0.0246
b3499	0.0239
b3500	0.0242
b4613	0.0282
b3501	0.0207
b3502	0.0238
b3503	0.0251
b3505	0.0221
b3506	0.0212
b3507	0.0210
b3508	0.0217
b3509	0.0224
b3510	0.0242
b3511	0.0213
b3512	0.0216
b3513	0.0223
b3514	0.0231
b3515	0.0199
b3516	0.0179
b3517	0.0240
b3518	0.0226
b3519	0.0235
b3520	0.0218
b3521	0.0223
b3522	0.0235
b3523	0.0236
b3524	0.0235
b3525	0.0219
b3526	0.0245
b3527	0.0235
b3528	0.0240
b3529	0.0238
b3530	0.0232
b3531	0.0222
b3532	0.0237
b3533	0.0230
b3535	0.0230
b3536	0.0214
b3537	0.0223
b3538	0.0216
b4453	0.0218
b3539	0.0217
b3540	0.0239
b3541	0.0241
b3542	0.0254
b3543	0.0238
b3544	0.0239
b3546	0.0225
b3547	0.0240
b3548	0.0209
b3549	0.0211
b3550	0.0223
b3551	0.0225
b3552	0.0236
b3553	0.0223
b3554	0.0226
b3555	0.0214
b3556	0.0226
b4455	0.0200
b3557	0.0195
b3558	0.0185
b3559	0.0262
b3560	0.0243
b4553	0.0209
b3561	0.0217
b3562	0.0210
b3563	0.0199
b3564	0.0214
b3565	0.0238
b3566	0.0229
b3567	0.0224
b3568	0.0216
b3569	0.0217
b3570	0.0199
b3571	0.0214
b3572	0.0236
b3573	0.0195
b3574	0.0224
b3575	0.0229
b3576	0.0224
b3577	0.0201
b3578	0.0231
b3579	0.0235
b3580	0.0223
b3581	0.0231
b3582	0.0237
b3583	0.0225
b3584	0.0213
b3585	0.0217
b3586	0.0230
b3587	0.0211
b3588	0.0243
b3589	0.0235
b3590	0.0238
b3591	0.0228
b3592	0.0237
b3593	0.0218
b3594	0.0190
b3596	0.0181
b3597	0.0218
b3598	0.0213
b3599	0.0247
b3600	0.0245
b3601	0.0229
b4554	0.0204
b3602	0.0260
b3603	0.0229
b3604	0.0231
b3605	0.0242
b3606	0.0223
b3607	0.0230
b3608	0.0234
b3609	0.0237
b3610	0.0241
b3611	0.0232
b3612	0.0248
b3613	0.0238
b3614	0.0218
b3615	0.0208
b3616	0.0239
b3617	0.0248
b3618	0.0193
b3619	0.0243
b3620	0.0226
b3621	0.0214
b3622	0.0170
b3623	0.0181
b3624	0.0196
b3625	0.0204
b3626	0.0189
b3627	0.0200
b3628	0.0205
b3629	0.0189
b3630	0.0203
b3631	0.0204
b3632	0.0204
b3633	0.0225
b3634	0.0246
b3635	0.0227
b3636	0.0237
b3637	0.0223
b3638	0.0212
b3639	0.0219
b3640	0.0230
b3641	0.0253
b3642	0.0245
b3644	0.0254
b3645	0.0207
b3646	0.0227
b3647	0.0213
b3648	0.0223
b3649	0.0250
b3650	0.0232
b3651	0.0227
b3652	0.0240
b3653	0.0239
b3654	0.0247
b3655	0.0227
b3656	0.0222
b3657	0.0221
b3659	0.0206
b3660	0.0211
b3661	0.0223
b4555	0.0210
b3662	0.0223
b3663	0.0223
b3664	0.0215
b3665	0.0227
b3666	0.0242
b3667	0.0225
b3668	0.0234
b3669	0.0244
b3670	0.0225
b3671	0.0241
b3672	0.0185
b4618	0.0263
b3673	0.0228
b3674	0.0207
b3675	0.0210
b3676	0.0225
b3677	0.0225
b3678	0.0217
b3679	0.0231
b3680	0.0203
b3684	0.0225
b3685	0.0236
b3686	0.0239
b3687	0.0240
b3688	0.0207
b3689	0.0215
b3690	0.0216
b3691	0.0239
b4478	0.0244
b4477	0.0224
b3693	0.0204
b4479	0.0232
b3696	0.0200
b3697	0.0244
b3698	0.0236
b3699	0.0248
b3700	0.0216
b3701	0.0246
b3702	0.0229
b3703	0.0215
b3704	0.0205
b4557	0.0175
b3705	0.0244
b3706	0.0243
b3707	0.0187
b3708	0.0243
b3709	0.0210
b3710	0.0218
b3711	0.0233
b3712	0.0217
b3713	0.0242
b3714	0.0237
b3715	0.0223
b3716	0.0187
b3717	0.0209
b3718	0.0233
b3719	0.0226
b3720	0.0224
b3721	0.0218
b3722	0.0221
b3723	0.0216
b3724	0.0250
b3725	0.0242
b3726	0.0258
b3727	0.0249
b3728	0.0245
b3729	0.0251
b3730	0.0247
b3731	0.0243
b3732	0.0246
b3733	0.0243
b3734	0.0244
b3735	0.0226
b3736	0.0245
b3737	0.0271
b3738	0.0245
b3739	0.0214
b3740	0.0230
b3741	0.0237
b3742	0.0229
b3743	0.0221
b3744	0.0241
b3745	0.0231
b3746	0.0236
b3747	0.0221
b3748	0.0215
b3749	0.0243
b3750	0.0233
b3751	0.0249
b3752	0.0226
b3753	0.0230
b3754	0.0203
b3755	0.0216
b4480	0.0215
b3764	0.0207
b3765	0.0212
b3766	0.0182
b4669	0.0139
b3769	0.0196
b3770	0.0238
b3771	0.0241
b3772	0.0245
b3773	0.0238
b3774	0.0260
b3775	0.0235
b3778	0.0241
b3779	0.0239
b3780	0.0236
b3781	0.0253
b3783	0.0244
b3784	0.0216
b3785	0.0230
b3786	0.0227
b3787	0.0234
b3788	0.0237
b3789	0.0241
b3790	0.0220
b3791	0.0245
b3792	0.0232
b4481	0.0223
b3793	0.0230
b3794	0.0231
b3795	0.0231
b3800	0.0216
b3801	0.0221
b3802	0.0251
b3803	0.0235
b3804	0.0208
b3805	0.0235
b3806	0.0225
b3807	0.0255
b4558	0.0208
b3809	0.0228
b3810	0.0233
b3811	0.0232
b3812	0.0228
b3813	0.0240
b4482	0.0220
b3816	0.0249
b3817	0.0191
b3818	0.0180
b3819	0.0237
b3820	0.0228
b3821	0.0216
b3822	0.0240
b3823	0.0240
b3824	0.0221
b3825	0.0210
b3826	0.0241
b3827	0.0243
b3828	0.0224
b3829	0.0245
b3830	0.0219
b3831	0.0236
b3832	0.0238
b3833	0.0236
b3834	0.0247
b3835	0.0226
b3836	0.0237
b3838	0.0227
b3839	0.0239
b4483	0.0225
b3842	0.0212
b3843	0.0238
b3844	0.0227
b3845	0.0244
b3846	0.0254
b3847	0.0248
b3848	0.0227
b3849	0.0230
b3850	0.0226
b3856	0.0215
b3857	0.0217
b3858	0.0263
b3859	0.0214
b3860	0.0250
b3861	0.0216
b3862	0.0208
b3863	0.0244
b3865	0.0243
b3866	0.0247
b3867	0.0240
b4686	0.0218
b3868	0.0241
b3869	0.0237
b3870	0.0239
b3871	0.0245
b3872	0.0216
b3873	0.0220
b3874	0.0218
b3875	0.0206
b3876	0.0216
b3877	0.0231
b3878	0.0230
b3879	0.0210
b3880	0.0234
b3881	0.0229
b3882	0.0230
b3883	0.0223
b3884	0.0219
b3885	0.0229
b3886	0.0213
b3887	0.0217
b3888	0.0226
b3889	0.0196
b3890	0.0197
b3891	0.0240
b3892	0.0224
b3893	0.0225
b3894	0.0231
b3895	0.0213
b3896	0.0229
b3897	0.0221
b3898	0.0236
b3899	0.0239
b3900	0.0224
b3901	0.0232
b3902	0.0219
b3903	0.0232
b3904	0.0224
b3905	0.0218
b3906	0.0216
b3907	0.0227
b3908	0.0258
b3909	0.0228
b3910	0.0209
b3911	0.0247
b3912	0.0232
b4484	0.0204
b3915	0.0211
b3916	0.0247
b3917	0.0233
b3918	0.0214
b3919	0.0245
b3920	0.0214
b3921	0.0222
b3922	0.0215
b3923	0.0224
b3924	0.0230
b3925	0.0255
b3926	0.0239
b3927	0.0214
b3928	0.0278
b3929	0.0238
b3930	0.0234
b3931	0.0255
b3932	0.0247
b3933	0.0218
b3934	0.0227
b3935	0.0232
b3936	0.0212
b3937	0.0224
b3938	0.0230
b3939	0.0238
b3940	0.0243
b3941	0.0239
b3942	0.0242
b3943	0.0223
b3944	0.0217
b3945	0.0245
b3946	0.0233
b3947	0.0241
b3949	0.0245
b3950	0.0252
b3951	0.0233
b3952	0.0229
b3953	0.0224
b3954	0.0218
b3955	0.0235
b3956	0.0252
b3957	0.0219
b3958	0.0231
b3959	0.0250
b3960	0.0249
b3961	0.0246
b3962	0.0225
b3963	0.0226
b3964	0.0226
b3965	0.0235
b3966	0.0211
b3967	0.0213
b3972	0.0211
b3973	0.0229
b3974	0.0211
b3980	0.0246
b3981	0.0248
b3982	0.0238
b3983	0.0233
b3984	0.0246
b3985	0.0250
b3986	0.0252
b3987	0.0246
b3988	0.0253
b3989	0.0198
b3990	0.0217
b3991	0.0241
b4407	0.0235
b3992	0.0221
b3993	0.0231
b3994	0.0236
b3995	0.0228
b3996	0.0213
b3997	0.0247
b3998	0.0230
b3999	0.0228
b4000	0.0238
b4001	0.0211
b4002	0.0222
b4003	0.0218
b4004	0.0246
b4005	0.0253
b4006	0.0241
b4011	0.0218
b4012	0.0212
b4013	0.0225
b4014	0.0237
b4015	0.0246
b4016	0.0225
b4017	0.0201
b4018	0.0226
b4019	0.0242
b4020	0.0237
b4021	0.0240
b4022	0.0230
b4023	0.0223
b4024	0.0239
b4025	0.0242
b4026	0.0208
b4027	0.0227
b4028	0.0209
b4029	0.0228
b4620	0.0177
b4030	0.0233
b4031	0.0229
b4032	0.0242
b4033	0.0241
b4034	0.0247
b4035	0.0235
b4036	0.0221
b4037	0.0222
b4039	0.0226
b4040	0.0231
b4041	0.0234
b4042	0.0227
b4043	0.0241
b4044	0.0234
b4045	0.0268
b4046	0.0237
b4047	0.0199
b4048	0.0201
b4049	0.0230
b4050	0.0252
b4051	0.0230
b4052	0.0238
b4053	0.0231
b4054	0.0220
b4621	0.0185
b4055	0.0216
b4056	0.0206
b4057	0.0242
b4058	0.0236
b4059	0.0244
b4060	0.0196
b4061	0.0209
b4062	0.0216
b4063	0.0230
b4064	0.0244
b4065	0.0244
b4066	0.0194
b4067	0.0247
b4068	0.0222
b4069	0.0239
b4070	0.0234
b4071	0.0211
b4072	0.0211
b4073	0.0246
b4074	0.0227
b4075	0.0220
b4076	0.0230
b4077	0.0252
b4078	0.0226
b4079	0.0236
b4080	0.0231
b4081	0.0224
b4082	0.0236
b4622	0.0192
b4083	0.0242
b4084	0.0218
b4085	0.0238
b4086	0.0224
b4087	0.0224
b4088	0.0237
b4089	0.0211
b4090	0.0212
b4487	0.0224
b4092	0.0229
b4093	0.0239
b4094	0.0237
b4095	0.0250
b4096	0.0239
b4097	0.0244
b4098	0.0231
b4099	0.0245
b4100	0.0246
b4101	0.0240
b4102	0.0225
b4105	0.0240
b4106	0.0241
b4107	0.0215
b4108	0.0243
b4109	0.0221
b4110	0.0219
b4111	0.0237
b4703	0.0204
b4112	0.0229
b4113	0.0250
b4114	0.0224
b4115	0.0218
b4116	0.0188
b4117	0.0229
b4118	0.0228
b4119	0.0228
b4120	0.0211
b4121	0.0220
b4122	0.0242
b4123	0.0240
b4124	0.0213
b4125	0.0224
b4126	0.0214
b4127	0.0239
b4128	0.0182
b4559	0.0184
b4129	0.0239
b4130	0.0218
b4131	0.0240
b4132	0.0223
b4133	0.0197
b4135	0.0240
b4136	0.0222
b4137	0.0220
b4138	0.0241
b4139	0.0245
b4140	0.0217
b4141	0.0221
b4142	0.0248
b4143	0.0260
b4144	0.0211
b4145	0.0235
b4146	0.0229
b4147	0.0242
b4410	0.0205
b4411	0.0213
b4148	0.0226
b4149	0.0219
b4150	0.0203
b4151	0.0245
b4152	0.0243
b4153	0.0233
b4154	0.0242
b4155	0.0224
b4156	0.0213
b4157	0.0219
b4158	0.0216
b4159	0.0240
b4160	0.0236
b4161	0.0229
b4162	0.0252
b4670	0.0186
b4166	0.0215
b4167	0.0228
b4168	0.0217
b4169	0.0221
b4170	0.0236
b4171	0.0211
b4172	0.0208
b4173	0.0225
b4174	0.0246
b4175	0.0241
b4176	0.0210
b4177	0.0244
b4178	0.0205
b4179	0.0247
b4180	0.0241
b4181	0.0208
b4182	0.0241
b4183	0.0227
b4184	0.0216
b4185	0.0198
b4186	0.0226
b4187	0.0222
b4188	0.0217
b4189	0.0192
b4190	0.0211
b4191	0.0235
b4192	0.0234
b4193	0.0237
b4194	0.0226
b4195	0.0253
b4196	0.0253
b4197	0.0242
b4198	0.0229
b4199	0.0213
b4200	0.0236
b4201	0.0182
b4202	0.0232
b4203	0.0244
b4204	0.0176
b4206	0.0223
b4207	0.0257
b4208	0.0223
b4209	0.0250
b4210	0.0222
b4211	0.0234
b4212	0.0229
b4213	0.0234
b4214	0.0228
b4215	0.0203
b4216	0.0233
b4217	0.0205
b4218	0.0240
b4219	0.0218
b4220	0.0225
b4221	0.0236
b4222	0.0201
b4224	0.0219
b4225	0.0229
b4226	0.0242
b4227	0.0233
b4485	0.0229
b4230	0.0235
b4231	0.0221
b4232	0.0235
b4233	0.0249
b4234	0.0253
b4235	0.0235
b4237	0.0219
b4238	0.0238
b4239	0.0216
b4240	0.0235
b4241	0.0222
b4702	0.0136
b4242	0.0236
b4243	0.0236
b4244	0.0236
b4245	0.0239
b4246	0.0186
b4248	0.0203
b4249	0.0213
b4251	0.0196
b4252	0.0226
b4253	0.0192
b4254	0.0234
b4255	0.0262
b4256	0.0220
b4257	0.0193
b4258	0.0254
b4259	0.0229
b4260	0.0236
b4261	0.0233
b4262	0.0239
b4263	0.0233
b4264	0.0213
b4265	0.0222
b4266	0.0229
b4267	0.0209
b4268	0.0209
b4269	0.0227
b4272	0.0204
b4273	0.0194
b4277	0.0183
b4278	0.0218
b4279	0.0180
b4280	0.0197
b4655	0.0176
b4284	0.0185
b4287	0.0193
b4288	0.0238
b4289	0.0241
b4290	0.0238
b4291	0.0229
b4292	0.0231
b4293	0.0217
b4294	0.0182
b4295	0.0216
b4296	0.0224
b4297	0.0215
b4298	0.0224
b4299	0.0194
b4300	0.0208
b4301	0.0213
b4302	0.0208
b4303	0.0214
b4304	0.0227
b4565	0.0204
b4305	0.0208
b4306	0.0225
b4307	0.0201
b4566	0.0207
b4309	0.0198
b4310	0.0203
b4311	0.0194
b4312	0.0180
b4313	0.0202
b4314	0.0226
b4315	0.0200
b4316	0.0208
b4317	0.0201
b4318	0.0201
b4319	0.0188
b4320	0.0202
b4321	0.0247
b4322	0.0250
b4323	0.0255
b4324	0.0238
b4325	0.0187
b4326	0.0201
b4327	0.0222
b4328	0.0236
b4329	0.0232
b4330	0.0228
b4331	0.0204
b4332	0.0212
b4333	0.0215
b4334	0.0221
b4335	0.0236
b4336	0.0235
b4337	0.0222
b4340	0.0228
b4341	0.0208
b4345	0.0190
b4346	0.0200
b4347	0.0231
b4348	0.0198
b4349	0.0250
b4350	0.0241
b4351	0.0220
b4352	0.0252
b4353	0.0218
b4354	0.0246
b4355	0.0238
b4356	0.0216
b4357	0.0205
b4358	0.0226
b4359	0.0227
b4360	0.0236
b4361	0.0238
b4362	0.0232
b4363	0.0213
b4364	0.0210
b4365	0.0189
b4366	0.0200
b4367	0.0220
b4567	0.0219
b4371	0.0232
b4372	0.0217
b4373	0.0232
b4374	0.0237
b4375	0.0244
b4376	0.0239
b4568	0.0228
b4377	0.0217
b4378	0.0231
b4379	0.0219
b4380	0.0233
b4381	0.0258
b4382	0.0250
b4383	0.0248
b4384	0.0238
b4385	0.0216
b4386	0.0228
b4387	0.0247
b4388	0.0257
b4389	0.0237
b4390	0.0231
b4391	0.0260
b4392	0.0223
b4393	0.0234
b4394	0.0221
b4395	0.0230
b4396	0.0232
b4397	0.0229
b4398	0.0221
b4399	0.0221
b4400	0.0220
b4401	0.0243
b4402	0.0179
b4403	0.0217
